Título,Desenvolvedor,Publicador,Exclusivo,Europa,Japão,América Do Norte,Brasil,Referências
Ryû ga Gotoku Ishin!,Sega,Sega,Sony,,2014,,,[210]
Samurai Gunn,Maxistentialism,Teknopants,Console,2014,2014,,,[211]
Savant Ascent,DPad Studios,DPad Studios,Console,,,,,[212]
Scivelation,Black Wing Foundation,TopWare Interactive,Não,2014,2014,2014,2014,
Secret Ponchos,Switchblade Monkeys,Switchblade Monkeys,Console,2014,2014,2014,2014,[213]
Shadow of the Beast,Heavy Spectrum,Sony Computer Entertainment,Sim,,,,,[214]
Shadow Warrior,Flying Wild Hog,Devolver Digital,Não,2014,2014,2014,2014,[215]
Shantae: Half-Genie Hero,WayForward Technologies,,Não,2014,2014,2014,2014,[216]
Sherlock Holmes: Crimes e Punishments,Frogwares,Focus Home Interactive,Não,2014,2014,2014,2014,[217]
Skulls of the Shogun: Bone-A-Fide Edition,17-BIT,17-BIT,Console,2014,2014,2014,2014,[218]
Skylanders: Swap Force,Vicarious Visions,Activision,Não,2013,2014,2013,2013,[219]
Skylanders: Trap Team,Beenox,Activision,Não,2014,,2014,2014,
Sleeping Dogs: Triad Wars,United Front Games,Square Enix,Não,2014,2014,2014,2014,[carece de fontes?]
Sniper Elite 3,Rebellion Developments,505 Games,Não,2014,2014,2014,2014,[220]
Sniper: Ghost Warrior 3,CI Games,CI Games,Não,2017,2017,2017,2017,[221]
SOMA,Frictional Games,Frictional Games,Console,2015,2015,2015,2015,[222]
Soul Saga: Episode 1,Disastercake,Disastercake,Não,2014,2014,2014,2014,[223]
Sound Shapes,Queasy Games,Sony Computer Entertainment,Sony,2013,2014,2013,2013,[89]
Source,Fire Fenix,Fire Fenix,Não,2015,2015,2015,2015,[224]
Spelunky,Mossmouth,Mossmouth,Console,2014,2014,2014,2014,[225]
Sportsfriends,Die Gute Fabrik,Die Gute Fabrik,Console,2014,2014,2014,2014,[226]
Star Wars: Battlefront,DICE,Electronic Arts / LucasArts,Não,2015,,2015,2015,[227]
Star Wars: Battlefront II,DICE,Electronic Arts / LucasArts,Não,2017,2017,2017,2017,
Starbound,Chucklefish,Chucklefish,Console,,,,,[228]
Starwhal: Just the Tip,Breakfall,Breakfall,Não,,,,,[229]
Steamworld Dig,Image & Form,Image & Form,Console,2014,2014,2014,2014,[230]
Stealth Inc: Ultimate Edition,Curve Studios,Curve Studios,Console,2014,,2014,2014,[231]
Street Fighter V,Capcom,Capcom,Console,2016,2016,2016,2016,[232][233][234]
Strider,Double Helix Games,Capcom,Não,2014,2014,2014,2014,[235]
Strike Suit Zero,Born Ready Games,Born Ready Games,Não,2014,,2014,2014,[236]
Super Exploding Zoo,Honeyslug,,Sony,2014,2014,,,[237][238]
Super Motherload,XGen Studios,XGen Studios,Console,2013,2014,2013,2013,[239]
Switch Galaxy Ultra,Atomicom,Atomicom,Sony,,,,,[240]
Tekken 7,Bandai Namco Entertainment,Bandai Namco Entertainment,Não,2017,2017,2017,2017,[241]
The Amazing Spider-Man 2,Beenox,Activision,Não,2014,,2014,2014,[242]
The Binding of Isaac: Rebirth,Nicalis,Nicalis,Não,2014,2014,2014,2014,[243]
The Crew,Ivory Tower,Ubisoft,Não,2014,2014,2014,2014,[244]
The Crew 2,Ivory Tower,Ubisoft,Não,2018,2018,2018,2018,
The Elder Scrolls Online,ZeniMax Online Studios,Bethesda Softworks,Não,2014,2014,2014,2014,[245]
The Evil Within,Tango Gameworks,Bethesda Softworks,Não,2014,2014,2014,2014,[246]
The Evil Within 2,Tango Gameworks,Bethesda Softworks,Não,2017,2017,2017,2017,
The Idolmaster,Bandai Namco Games,Bandai Namco Games,Sim,,,2014,2014,[167]
The Last Guardian,Team ICO / SCE Japan Studio,Sony Computer Entertainment,Sim,2016,2016,2016,2016,
The Last of Us Remastered,Naughty Dog,Sony Computer Entertainment,Sim,2014,2014,2014,2014,[247]
The Legend of el Lobodestroyo vs. la Liga de los Villanos,Lefhanded Studios,Lefhanded Studios,Não,2014,,2014,2014,[248]
The Lego Movie Videogame,TT Games,Warner Bros. Interactive Entertainment,Não,2014,,2014,2014,[249]
The Order: 1886,Ready at Dawn SCE Santa Monica Studio,Sony Computer Entertainment,Sim,2015,2015,2015,2015,[250][251]
The Pinball Arcade,FarSight Studios,FarSight Studios,Não,2013,2014,2013,2013,[252]
The Swapper,Facepalm Games,Curve Studios,Console,2014,2014,2014,2014,[253]
The Witcher 3: Wild Hunt,CD Projekt RED,CD Projekt RED,Não,2015,2015,2015,2015,[254]
The Witness,"Thekla, Inc.","Thekla, Inc.",Timed,2016,2016,2016,2016,[255][256]
Thief,Eidos Montreal,Square Enix,Não,2014,2014,2014,2014,[257][258]
Tiny Brains,Spearhead Games,Spearhead Games,Console,2013,2014,2013,2013,[259]
Tiny Troopers: Joint Ops,Kukouri Mobile Entertainment,Wired Productions,Console,,,,,[260]
Titan Attacks,Puppygames,Puppygames,Console,2014,,2014,2014,[170]
To Leave,Freaky Creations,Freaky Creations,Console,,,,,[261]
Tomb Raider: Definitive Edition,Crystal Dynamics,Square Enix,Não,2014,,2014,2014,[262]
Tom Clancy's The Division,Ubisoft Massive,Ubisoft,Não,2015,2015,2015,2015,[263]
Tom Clancy's Rainbow 6: Patriots,Ubisoft Montreal Ubisoft Red Storm Ubisoft Toronto,Ubisoft,Não,,,,,[264]
Tom Clancy's Rainbow Six: Siege,Ubisoft Montreal Ubisoft Red Storm Ubisoft Toronto,Ubisoft,Não,,,,,[265]
Tottemo E Mahjong Plus,Arc System Works,Arc System Works,Sim,,2014,,,[266]
Towerfall: Ascension,Matt Thorson,Matt Thorson,Não,2014,,2014,2014,[267]
Transformers: Rise of the Dark Spark,Edge of Reality,Activision,Não,2014,2014,2014,2014,[268]
Transistor,Supergiant Games,Supergiant Games,Console,2014,2014,2014,2014,[269]
Trials Fusion,RedLynx,Ubisoft,Não,2014,2014,2014,2014,[270]
Trine 2: Complete Story,Frozenbyte,Atlus,Não,2013,2014,2013,2013,[271]
Uncharted: The Nathan Drake Collection,Naughty Dog,Sony Computer Entertainment,Sim,2015,2015,2015,2015,
Uncharted 4: A Thief's End,Naughty Dog,Sony Computer Entertainment,Sim,2016,2016,2016,2016,[272]
Until Dawn,,,,,,,,
Valiant Hearts: The Great War,Ubisoft Montpellier,Ubisoft,Não,2014,2014,2014,2014,[273]
Velocity 2X,FuturLab,FuturLab,Sim,2014,2014,2014,2014,[274]
Volume,Mike Bithell Games,,Console,2014,2014,2014,2014,[275]
"Warhammer 40,000: Eternal Crusade",Behaviour Interactive,Behaviour Interactive,Não,2015,2015,2015,2015,[276]
Watch Dogs,Ubisoft Montreal Ubisoft Reflections Ubisoft Romania,Ubisoft,Não,2014,2014,2014,2014,[277]
Watch Dogs 2,,Ubisoft,Não,,,,,
Whore of the Orient,Team Bondi,,Não,2015,2015,2015,2015,[278][279][280]
Without Memory,Dinosaurum Games,Dinosaurum Games,Sim,2016,2016,2016,2016,[281]
Wolfenstein: The New Order,MachineGames,Bethesda Softworks,Não,2014,2014,2014,2014,[282]
WonderFlick,Level-5,Level-5,Não,2014,2014,2014,2014,[283]
WRC 5,Kylotonn Games,Bigben Interactive,Não,2015,2015,2015,2015,
WRC 6,Kylotonn Games,Bigben Interactive,Não,2016,2016,2016,2016,
WRC 7,Kylotonn Games,Bigben Interactive,Não,2017,2017,2017,2017,
WRC 8,Kylotonn Games,Bigben Interactive,Não,,,,,
Worms Battlegrounds,Team17,Team17,Não,2014,2014,2014,2014,
WWE 2K15,Yuke's/Visual Concepts,2K Sports,Não,2014,2014,2014,2014,[284]
WWE 2K16,Yuke's/Visual Concepts,2K Sports,Não,2015,2015,2015,2015,
WWE 2K17,Yuke's/Visual Concepts,2K Sports,Não,2016,2016,2016,2016,
WWE 2K18,Yuke's/Visual Concepts,2K Sports,Não,2017,2017,2017,2017,
WWE 2K19,Yuke's/Visual Concepts,2K Sports,Não,2018,2018,2018,2018,
WWE 2K20,Yuke's/Visual Concepts,2K Sports,Não,2019,2019,2019,2019,
